unique_id,lat,lng,r_code
ACAC0001-48,37.5300525,126.926228,9
ACAC0002-01,36.142021,128.448893,15
ACAC0002-02,36.142021,128.448893,15
ACAC0003-01,35.15999,126.8513,5
ACAC0003-02,35.15999,126.8513,5
ACAC0004-01,35.15095,126.91934,5
ACAC0004-02,35.15095,126.91934,5
ACAC0005-01,35.14948,126.92809,5
ACAC0005-02,35.14948,126.92809,5
ACAC0006-01,35.12771,126.92814,5
ACAC0006-02,35.12771,126.92814,5
ACAC0007-01,35.11939,126.93075,5
ACAC0007-02,35.11939,126.93075,5
ACAC0008-01,35.15267,126.92559,5
ACAC0008-02,35.15267,126.92559,5
ACAC0009-01,35.12095,126.93904,5
ACAC0009-02,35.12095,126.93904,5
ACAC0010-01,35.10578,126.93403,5
ACAC0010-02,35.10578,126.93403,5
ACAC0011-01,35.11742,126.94554,5
ACAC0011-02,35.11742,126.94554,5
ACAC0012-01,35.12965,126.93495,5
ACAC0012-02,35.12965,126.93495,5
ACAC0013-01,35.11572,126.92177,5
ACAC0013-02,35.11572,126.92177,5
ACAC0014-01,35.12136,126.93645,5
ACAC0014-02,35.12136,126.93645,5
ACAC0015-01,35.09432,126.93871,5
ACAC0015-02,35.09432,126.93871,5
ACAC0016-01,35.08942,126.9518,5
ACAC0016-02,35.08942,126.9518,5
AH000001-01,37.3274143,126.8479589,9
AH000002-01,37.615742,126.622935,9
AH000002-02,37.615742,126.622935,9
AH000002-04,37.615742,126.622935,9
AH000002-06,37.615742,126.622935,9
AH000002-09,37.615742,126.622935,9
AH000002-13,37.615742,126.622935,9
AH000003-01,37.82207717,127.09393594,9
AH000003-02,37.82207717,127.09393594,9
AH000003-03,37.82207717,127.09393594,9
AH000004-01,34.32349501,126.7402188,14
AH000004-02,34.32349501,126.7402188,14
AH000005-01,37.5120032,127.1547268,9
AH000005-02,37.5120032,127.1547268,9
AH000005-03,37.5120032,127.1547268,9
AH000005-04,37.5120032,127.1547268,9
AH000007-01,37.464393,126.684148,4
AH000007-02,37.464393,126.684148,4
AH000009-01,37.57850549,126.8647745,9
AH000009-02,37.57850549,126.8647745,9
AH000009-03,37.57850549,126.8647745,9
AH000009-04,37.57850549,126.8647745,9
AH000009-05,37.57850549,126.8647745,9
AH000009-06,37.57850549,126.8647745,9
AH000009-07,37.57850549,126.8647745,9
AH000009-08,37.57850549,126.8647745,9
AH000009-09,37.57850549,126.8647745,9
AH000009-10,37.57850549,126.8647745,9
AH000010-01,37.24189197,127.05494995,9
AH000010-02,37.24189197,127.05494995,9
AH000010-03,37.24189197,127.05494995,9
AH000011-01,36.91274627,127.54732238,11
AH000011-02,36.91274627,127.54732238,11
AH000012-01,36.96666741,127.46426183,11
AH000012-02,36.96666741,127.46426183,11
AH000012-03,36.96666741,127.46426183,11
AH000013-01,35.12562646,126.87881801,5
AH000013-02,35.12562646,126.87881801,5
AH000014-01,37.24524257,127.41985874,9
AH000014-02,37.24524257,127.41985874,9
AH000014-03,37.24524257,127.41985874,9
AH000015-01,37.48428414,126.71943906,4
AH000016-01,35.200384,129.1318321,2
AH000016-02,35.200384,129.1318321,2
AH000016-03,35.200384,129.1318321,2
AH000016-04,35.200384,129.1318321,2
AH000016-05,35.200384,129.1318321,2
AH000016-06,35.200384,129.1318321,2
AH000016-07,35.200384,129.1318321,2
AH000016-08,35.200384,129.1318321,2
AH000016-09,35.200384,129.1318321,2
AH000016-10,35.200384,129.1318321,2
AH000016-11,35.200384,129.1318321,2
AH000016-12,35.200384,129.1318321,2
AH000016-13,35.200384,129.1318321,2
AH000016-14,35.200384,129.1318321,2
AH000016-15,35.200384,129.1318321,2
AH000016-16,35.200384,129.1318321,2
AH000016-17,35.200384,129.1318321,2
AH000017-01,35.09046516,128.85320253,2
AH000017-02,35.09046516,128.85320253,2
AH000017-03,35.09046516,128.85320253,2
AH000017-04,35.09046516,128.85320253,2
AH000018-01,37.4005277,127.1114559,9
AH000018-02,37.4005277,127.1114559,9
AH000018-03,37.4005277,127.1114559,9
AH000018-04,37.4005277,127.1114559,9
AH000018-05,37.4005277,127.1114559,9
AH000019-01,35.83883503,128.6838783,3
AH000019-02,35.83883503,128.6838783,3
AH000019-03,35.83883503,128.6838783,3
