Sido,Sigungu,RegistrationMonth,VehicleType,RegisteredCount
서울,강남구,2021-05-01,승용,198568
서울,강동구,2021-05-01,승용,126789
서울,강북구,2021-05-01,승용,60869
서울,강서구,2021-05-01,승용,163198
서울,관악구,2021-05-01,승용,99493
서울,광진구,2021-05-01,승용,79747
서울,구로구,2021-05-01,승용,112747
서울,금천구,2021-05-01,승용,68664
서울,노원구,2021-05-01,승용,128581
서울,도봉구,2021-05-01,승용,76507
서울,동대문구,2021-05-01,승용,79462
서울,동작구,2021-05-01,승용,92989
서울,마포구,2021-05-01,승용,100184
서울,서대문구,2021-05-01,승용,74509
서울,서초구,2021-05-01,승용,152493
서울,성동구,2021-05-01,승용,82488
서울,성북구,2021-05-01,승용,103022
서울,송파구,2021-05-01,승용,201275
서울,양천구,2021-05-01,승용,126789
서울,영등포구,2021-05-01,승용,117102
서울,용산구,2021-05-01,승용,69602
서울,은평구,2021-05-01,승용,110357
서울,종로구,2021-05-01,승용,38932
서울,중구,2021-05-01,승용,38550
서울,중랑구,2021-05-01,승용,88711
부산,강서구,2021-05-01,승용,62524
부산,금정구,2021-05-01,승용,67656
부산,기장군,2021-05-01,승용,67004
부산,남구,2021-05-01,승용,79060
부산,동구,2021-05-01,승용,44615
부산,동래구,2021-05-01,승용,80123
부산,부산진구,2021-05-01,승용,107290
부산,북구,2021-05-01,승용,85790
부산,사상구,2021-05-01,승용,65701
부산,사하구,2021-05-01,승용,90330
부산,서구,2021-05-01,승용,24416
부산,수영구,2021-05-01,승용,59623
부산,연제구,2021-05-01,승용,80076
부산,영도구,2021-05-01,승용,25710
부산,중구,2021-05-01,승용,27001
부산,해운대구,2021-05-01,승용,148378
대구,남구,2021-05-01,승용,47719
대구,달서구,2021-05-01,승용,234988
대구,달성군,2021-05-01,승용,111958
대구,동구,2021-05-01,승용,130889
대구,북구,2021-05-01,승용,168075
대구,서구,2021-05-01,승용,55233
대구,수성구,2021-05-01,승용,194394
대구,중구,2021-05-01,승용,56143
인천,강화군,2021-05-01,승용,24722
인천,남동구,2021-05-01,승용,219665
인천,동구,2021-05-01,승용,19514
인천,미추홀구,2021-05-01,승용,141095
인천,부평구,2021-05-01,승용,187987
인천,서구,2021-05-01,승용,201733
인천,연수구,2021-05-01,승용,181014
인천,옹진군,2021-05-01,승용,7924
인천,중구,2021-05-01,승용,55288
광주,광산구,2021-05-01,승용,164326
광주,남구,2021-05-01,승용,79261
광주,동구,2021-05-01,승용,37561
광주,북구,2021-05-01,승용,161444
광주,서구,2021-05-01,승용,121490
대전,대덕구,2021-05-01,승용,69048
대전,동구,2021-05-01,승용,74438
대전,서구,2021-05-01,승용,181519
대전,유성구,2021-05-01,승용,158678
대전,중구,2021-05-01,승용,80473
울산,남구,2021-05-01,승용,134365
울산,동구,2021-05-01,승용,55788
울산,북구,2021-05-01,승용,102091
울산,울주군,2021-05-01,승용,101382
울산,중구,2021-05-01,승용,87447
세종,세종특별자치시,2021-05-01,승용,156636
경기,가평군,2021-05-01,승용,23292
경기,고양시 덕양구,2021-05-01,승용,157097
경기,고양시 일산동구,2021-05-01,승용,109223
경기,고양시 일산서구,2021-05-01,승용,104053
경기,과천시,2021-05-01,승용,23073
경기,광명시,2021-05-01,승용,86190
경기,광주시,2021-05-01,승용,157401
경기,구리시,2021-05-01,승용,59586
경기,군포시,2021-05-01,승용,85944
경기,김포시,2021-05-01,승용,190234
경기,남양주시,2021-05-01,승용,249307
경기,동두천시,2021-05-01,승용,31062
경기,부천시,2021-05-01,승용,248261
경기,성남시 분당구,2021-05-01,승용,172531
경기,성남시 수정구,2021-05-01,승용,66456
경기,성남시 중원구,2021-05-01,승용,59624
경기,수원시 권선구,2021-05-01,승용,163703
경기,수원시 영통구,2021-05-01,승용,137304
경기,수원시 장안구,2021-05-01,승용,89045
경기,수원시 팔달구,2021-05-01,승용,63103
경기,시흥시,2021-05-01,승용,205560
경기,안산시 단원구,2021-05-01,승용,127302
경기,안산시 상록구,2021-05-01,승용,119906
